,0
773,6220.304383
774,7091.033851
775,7862.149782
776,7566.703507
777,5817.139713
778,2362.762017
779,715.3055633
780,0.55417824
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,228.5754332
795,1148.76531
796,2215.212061
797,3077.905945
798,3225.640627
799,2930.633078
800,2565.19871
801,1960.428615
802,1222.240108
803,472.206042
804,1.33926408
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,338.9954476
819,1544.148393
820,2757.614013
821,5335.558822
822,7714.900005
823,7999.539804
824,6176.547392
825,4738.45486
826,2387.884764
827,726.3198558
828,3.55597704
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,693.7157027
843,2929.871083
844,5912.75855
845,8158.542777
846,9704.376796
847,9888.202336
848,8648.828884
849,5810.789754
850,3058.348071
851,807.9687832
852,7.78158612
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,602.091567
867,2088.397607
868,4564.304348
869,8976.740767
870,10369.0905
871,10449.83889
872,9454.165321
873,7452.773698
874,4666.296235
875,1588.805923
876,16.20971352
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0.09236304
890,552.4695238
891,2038.891017
892,4470.417318
893,7334.387371
894,9512.030765
895,10572.40465
896,9649.559332
897,7571.783475
898,4769.973747
899,1666.945055
900,24.7071132
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0.36945216
914,437.8931726
915,1575.94437
916,2881.865393
917,4842.617278
918,10631.56317
919,10660.88844
920,9643.486462
921,7617.387726
922,4802.416265
923,1708.369879
924,32.71960692
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,1.2699918
938,503.0783881
939,1870.721012
940,4243.22733
941,9326.173238
942,11155.83888
943,11258.82367
944,10238.83553
945,8152.377544
946,5181.220183
947,1946.943611
948,50.84585352
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,7.64304156
962,1486.837127
963,4805.949151
