,Output
1595,4430.793573
1596,4216.442048
1597,5641.095759
1598,5073.963602
1599,3122.194023
1600,1810.777399
1601,231.0230538
1602,0
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,122.9121155
1615,1610.58051
1616,4856.287008
1617,8269.909512
1618,10215.67549
1619,8980.227472
1620,8832.746787
1621,9675.6288
1622,7635.560154
1623,4158.184061
1624,1438.785256
1625,158.5411582
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,22.02858504
1639,1310.492993
1640,3719.621256
1641,5359.919574
1642,7714.299645
1643,11343.52058
1644,11153.82998
1645,11015.67797
1646,8144.780684
1647,4466.607342
1648,1730.698644
1649,214.651705
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,256.6768882
1663,2643.568749
1664,6167.634359
1665,9460.723096
1666,12047.09603
1667,13494.93287
1668,13572.35619
1669,12273.75493
1670,9745.409076
1671,6796.164846
1672,3162.071765
1673,398.0385209
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,35.3288628
1687,315.1657832
1688,731.2843692
1689,1168.577182
1690,1865.202321
1691,2643.337842
1692,2313.186155
1693,2511.397239
1694,2175.265046
1695,3346.913299
1696,2416.517306
1697,458.5594028
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,247.2096766
1711,2117.630509
1712,4900.09018
1713,7779.392498
1714,10662.01989
1715,12002.27687
1716,12088.82104
1717,11248.20192
1718,9291.698733
1719,6030.03652
1720,2653.428504
1721,320.2457504
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,76.13023572
1735,853.0881282
1736,2369.273611
1737,3664.780701
1738,5277.670287
1739,6937.895931
1740,8981.10492
1741,10658.57936
1742,9620.926789
1743,7254.631886
1744,3461.074016
1745,541.7785019
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,218.9927678
1759,1450.630815
1760,2900.291819
1761,4244.220233
1762,7135.160294
1763,9148.328204
1764,10789.85033
1765,10029.44852
1766,8424.848512
1767,6337.2129
1768,2644.169109
1769,613.7524008
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,268.0606328
1783,1256.552978
1784,2395.250716
1785,3142.075167
1786,5687.877639
1787,9100.437968
1788,9672.188277
1789,7176.077121
1790,4744.296822
1791,2213.133892
1792,762.3183506
1793,152.6991959
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,468.072796
1807,2504.631646
1808,5916.199073
1809,9769.608193
1810,10508.62797
1811,9553.224681
1812,9618.155898
1813,7586.51538
1814,6564.587614
1815,4397.26579
1816,2461.752105
1817,592.7167184
1818,0
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,163.6442161
1831,1121.910756
1832,2889.346799
1833,5551.365065
1834,5478.559899
1835,5030.806972
1836,5113.287167
1837,4476.813458
1838,3655.198036
1839,2987.020714
1840,2355.765517
1841,668.1542314
1842,0.02309076
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,232.3392271
1855,1216.744507
1856,2688.84973
1857,4304.856568
1858,6869.524191
1859,9536.830241
1860,11997.4509
1861,8125.430627
1862,4619.837625
1863,4169.637078
1864,1923.090856
1865,643.7242073
1866,0.18472608
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,374.8553978
1879,1780.228324
1880,4018.069329
1881,6541.427582
1882,8804.668423
1883,7730.255361
1884,9091.98675
1885,9148.628384
1886,8588.354184
1887,6640.11749
1888,3505.616092
1889,760.4710898
1890,1.10835648
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,433.9215619
1903,2074.681695
1904,4238.655359
1905,7249.829008
1906,9944.959424
1907,11786.56299
1908,12229.69776
1909,12531.60945
1910,10915.90279
1911,7848.918776
1912,4436.335356
1913,1190.07468
1914,4.13324604
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,285.8174273
1927,1398.699696
1928,3138.611553
1929,4368.10216
1930,5551.272702
1931,9984.698622
1932,12371.70594
1933,12336.79271
1934,10106.22529
1935,6963.203404
1936,3027.63736
1937,597.4503242
1938,3.53288628
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,521.4586331
1951,1997.720192
1952,4208.614281
1953,6548.239356
1954,8734.888147
1955,9499.238484
1956,8997.406997
1957,8772.041179
1958,8431.752649
1959,6752.269311
1960,4480.438707
1961,1516.670389
1962,15.79407984
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0.1154538
1974,1120.20204
1975,4687.239554
1976,8346.501563
1977,11530.55573
1978,13903.50077
1979,15228.33313
1980,15346.71946
1981,14252.97943
1982,12076.97548
1983,8999.02335
1984,5406.378183
1985,1800.294194
1986,23.7834828
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0.6927228
1998,931.8507106
1999,4389.576567
2000,8704.154345
2001,11945.65832
2002,14283.71323
2003,15518.83798
2004,15621.13005
2005,14596.31594
2006,12405.90335
2007,9330.699027
2008,5656.543477
2009,1959.504984
2010,36.92212524
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,2.90943576
2022,835.8393305
2023,2070.432995
2024,3879.824949
2025,9942.119261
2026,13822.45221
2027,13919.24867
2028,14246.90656
2029,13512.11239
2030,11505.66389
2031,8082.135452
2032,5202.278956
2033,1699.041212
2034,37.89193716
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,5.77269
2046,1267.798178
2047,4502.582746
2048,8401.411391
2049,11850.89385
2050,14148.19356
2051,15377.98434
2052,15485.24093
2053,14406.09426
2054,12261.56301
2055,9219.817197
2056,5595.2606
2057,1949.275778
2058,57.35744784
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,11.15283708
2070,1441.417602
2071,4473.349844
2072,8025.516909
2073,11202.2744
2074,13737.89384
2075,15243.27285
2076,15287.05293
2077,14231.11248
2078,12075.52076
2079,9122.212555
2080,5564.2728
2081,2016.123528
2082,75.3913314
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,9.49030236
2094,777.8353414
2095,3105.314677
2096,8165.954911
2097,11685.03292
2098,14049.11111
2099,15341.66258
2100,15413.45175
2101,14330.91074
2102,12207.06882
2103,9198.342791
2104,5644.097558
2105,2138.596919
2106,97.14282732
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,25.95401424
2118,1639.236143
2119,4866.239125
2120,8403.81283
2121,11656.28492
2122,14036.20337
2123,15234.72927
2124,14889.82259
2125,13790.74859
2126,11551.33742
2127,8151.93882
2128,4407.979902
2129,1459.613121
2130,76.38423408
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,20.98950084
2142,885.8539166
2143,2541.853952
2144,4271.120968
2145,5776.222886
2146,6297.866245
2147,7424.094974
2148,7702.938991
2149,7641.933204
2150,7989.495323
2151,6434.032457
2152,4346.142847
2153,1921.335958
2154,135.5889427
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,38.07666324
2166,1339.933712
2167,4350.645545
2168,9006.112214
2169,12149.84992
2170,14464.74479
2171,15766.64802
2172,15969.08471
2173,14927.39125
2174,12783.16019
2175,9748.457057
2176,6133.62167
2177,2496.457517
2178,172.8574294
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,13.64663916
2190,318.7217603
2191,846.3225355
2192,1514.892401
2193,3015.353076
2194,5117.512776
2195,8014.91825
2196,8713.11356
2197,8462.948266
2198,6768.409753
